,index,date,time,user_name,text,retweeted,preprocessed_text
70,70,06/02/2018,23:44,carusb,"Our new @miele #miele #vacuumcleaner is useless on longish cut pile carpets and neither company nor seller (@currys) seem to care #currys. Grabs carpet and hard to move. Have to lift head then pull back, and it’s exhausting!",False,
71,71,06/02/2018,08:11,Aidy_P,@curryspcworld @TeamKnowhowUK why do you keep sending me SPAM emails when I keep asking you not to? Case # CSUP4252935CR. You fail to respond to my emails to stop. Is it because you're still using Windows XP? #curryspcworld #currys #pcworld #poorservice #spam #unhappy #Hackedpic.twitter.com/OtK0OtrJgx,False,
72,72,06/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
73,73,06/02/2018,04:03,RamsayMcIver,@curryspcworld just got this scam text message pretending to be from you guys. #scam #currys if you need more details pm me. pic.twitter.com/zNlqAHCzgy,False,
74,74,06/02/2018,01:37,publictweeter,Thanks anyway but it's now been finally honoured. Have a new TV... Although 10 days later with a cover plan. 7 days price promise cover is very misleading as you could wait up to 14 days with 7 day promise. #notransparency @curryspcworld @TeamKnowhowUK #currys #Horsham,False,
75,75,05/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
76,76,05/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
77,77,05/02/2018,00:54,therobwatson,Still not available anywhere but on sale but listed for sale on the website.... #currys,False,
78,78,04/02/2018,15:01,SvntySvnPunk,"Back to #Currys,Paulie waulie still b hiding there....",False,
79,79,04/02/2018,12:43,SvntySvnPunk,"......he's hiding where?

......you say in #Currys...... pic.twitter.com/8eQS1LHjZP",False,
80,80,04/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
81,81,04/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
82,82,03/02/2018,09:10,tastish704,Congrats to the Curry's on the new addition to the family! #beautiful #currys #love #basketball #empowered #kings #queens #tastish #preggers pic.twitter.com/rDaG9zKson,False,
83,83,03/02/2018,07:00,FashionTrendsEv,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/ruZiTbyjwj",False,
84,84,02/02/2018,10:15,CoreVizionTv,Congrats to the #currys #stephcurry and #ayeshacurry expecting baby  #3 https://www.instagram.com/p/BetDoF2lipF/ ,False,
85,85,02/02/2018,09:30,TheLondonTree,"Get your Kitchen Appliances, TV+Entertainment, Cameras, Audio, Computing, PC Accessories, Phones & Smart Tech {https://www.currys.co.uk/gbuk/index.html?awc=1599_1514296146_54ec51c91ee449d79fc9d4e8df0bfed5&srcid=369&xtor=AL-1&cmpid=aff~http%3A%2F%2Fwww%2Ethelondontree%2Ecom%2F~Media%20Content~229659&awid=229659 …} From CURRYS PC WORLD||#Curryspcworld #currys #pcworld #london #england #ireland #wales #scotland #londonislovinitpic.twitter.com/hl1v7qcJZu",False,
