;text;sentiment;preprocessed_text
16;@curryspcworld @TeamKnowhowUK Hello does your price promise include purchase at @verynetwork ?;-1;Hello does your price promise include purchase at
17;@theresa_may Or alternatively pop into your nearest currys pc world and see if we can save you money on your energy bills;0;Or alternatively pop into your nearest currys pc world and see if we can save you money on your energy bills
18;Grab 515 off Parrot Disco FPV drone with controller at @curryspcworld  ;0;Grab off Parrot Disco FPV drone with controller at
19;"@PCMagUKDeals @PCMag @curryspcworld "" weapons of mass destruction ""
to remotely control a vehicle unlicensed or checked with potential to become a tool for  terrorist ""
if you thought guns was a problem wait till these these start carrying 3d Printed ";-1;weapons of mass destruction to remotely control a vehicle unlicensed or checked with potential to become a tool for terrorist if you thought guns was a problem wait till these these start carrying 3d Printed
20;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
21;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
22;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
23;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
24;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
25;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
26;"One Fousand

Well done @curryspcworld

Why do we have to put up with utter morons!!!";-1;One Fousand Well done Why do we have to put up with utter morons
27;@LavarBigBaller3 @foster_braden @WayOfMarkus @TheHoopCentral Currys first mvp he deserved it... he finished 2nd in the west and had better stats then curry in every column, he did this all while his 2nd best player was out for half the season...;1;Currys first mvp he deserved it he finished 2nd in the west and had better stats then curry in every column he did this all while his 2nd best player was out for half the season
28;@curryspcworld when you advertise something as being available for collection from your store to be told by the staff that is is not actually in stock is incompetence. To offer to order the item for collection is either deliberate offence or rank stupidit;-1;when you advertise something as being available for collection from your store to be told by the staff that is is not actually in stock is incompetence To offer to order the item for collection is either deliberate offence or rank stupidit
29;@foster_braden @codyboucher81 @WayOfMarkus @TheHoopCentral Currys first was in 14-15 correct?;0;Currys first was in correct
30;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
31;"[LIVE]  The Final Week of The @ESL Premiership 2018 Spring Season for @Rainbow6Game!  

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Final Week of The Premiership Spring Season for Powered by
32;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
33;@vashti_hardy @TheGEAcademy @SJOHart Absolutely! Anyway, I must head off to Currys before they shut. Im thinking I might get one of those fridges with the cold drink dispenser in the front. You know, cos its just so damn hot at the moment.x;1;Absolutely Anyway I must head off to Currys before they shut Im thinking I might get one of those fridges with the cold drink dispenser in the front You know cos its just so damn hot at the moment x
34;@curryspcworld my 5 month old jvc tv is showing dark marks behind the screen. Is there anything I do to to get rid of this ? I initially thought it was just a dirty mark but it doesn? come off. ;-1;my month old jvc tv is showing dark marks behind the screen Is there anything I do to to get rid of this I initially thought it was just a dirty mark but it doesn come off
35;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
36;@curryspcworld I? absolutely disgusted by the way I have been treated today! I will say a lot more on this matter very soon;-1;I absolutely disgusted by the way I have been treated today I will say a lot more on this matter very soon
37;Opened the new oven that was delivered yesterday. Bits of metal hanging off, the door squwif. After 4 phone calls it? been replaced. Not too happy about slicing my hand on the damaged parts like. And the fact I?l have to wait in another bloody day @TeamKnowhowUK @curryspcworld ;-1;Opened the new oven that was delivered yesterday Bits of metal hanging off the door squwif After phone calls it been replaced Not too happy about slicing my hand on the damaged parts like And the fact I l have to wait in another bloody day
38;"[LIVE]  The @ESL Premiership 2018 Spring Season for Counter-Strike: Global Offensive!   

Powered by @IntelUK &amp; @curryspcworld! #ESLPrem ";0;LIVE The Premiership Spring Season for Counter Strike Global Offensive Powered by
39;@curryspcworld I will make sure everyone I know and everyone will be told how I have been treated here today! I will make sure they never buy from this place ! Your staff are ridiculously horrible!;-1;I will make sure everyone I know and everyone will be told how I have been treated here today I will make sure they never buy from this place Your staff are ridiculously horrible
40;Save 55 on the Dell Inspiron 13 Laptop in the @curryspcworld flash sale. Hurry, the sale ends today!  ;0;Save on the Dell Inspiron Laptop in the flash sale Hurry the sale ends today
41;@curryspcworld Another disappointing day dealing with Currys. I feel sorry for the guys on the other end of the phone it must feel so bed knowing you have yet again let the customer down.;-1;Another disappointing day dealing with Currys I feel sorry for the guys on the other end of the phone it must feel so bed knowing you have yet again let the customer down
42;@ExpertZone @Del_Boy_Guru Guess Currys/PCWorld is one of those ;-1;Guess Currys PCWorld is one of those
43;@DPD_UK Where in Currys is the Collection point for DPD Collect?;-1;Where in Currys is the Collection point for DPD Collect
44;@Kieran6430 @TeamKnowhowUK Currys Twitter bot fail;-1;Currys Twitter bot fail
45;Why does your helpline 03445611234 on website say open 8am - 8pm yet when I call for help with 4 day old fridge freezer with fault code E3 it says open til 6pm @curryspcworld @TeamKnowhowUK;-1;Why does your helpline on website say open 8am 8p m yet when I call for help with day old fridge freezer with fault code E3 it says open til 6pm
46;hey @jackburnell I know you were looking into these but this is a good price if not already started...  ;1;hey I know you were looking into these but this is a good price if not already started
47;Currys Pc World your service is disgusting.;-1;Currys Pc World your service is disgusting
48;Would be interested to know how many people get paid between 20th and 26th of the month @curryspcworld ;-1;Would be interested to know how many people get paid between 20th and 26th of the month
49;You're comparing a one time incident to a repeat offender ;-1;You re comparing a one time incident to a repeat offender
50;"Currys have got an offer on where you can get a 60"" HD Sony TV for 750 but you get 75 off the price for every game West Brom win between now and the end of the season. 

So you can get a 750 TV for only 750.

#wwfc
#wbafc
#avfc";1;Currys have got an offer on where you can get a HD Sony TV for but you get off the price for every game West Brom win between now and the end of the season So you can get a TV for only
51;@ushijichan currys waiting for their wedding;1;currys waiting for their wedding
52;this is #currys and currys;0;this is and currys
53;"Currys have got an offer on where you can get a 60"" HD Sony TV for 750 but you get 75 off the price for every game West Brom win between now and the end of the season. 

So you can get a 750 TV for only 750.

#wwfc
#wbafc
#avfc";1;Currys have got an offer on where you can get a HD Sony TV for but you get off the price for every game West Brom win between now and the end of the season So you can get a TV for only
54;@curryspcworld That's Ultra H (aitch) D. Please tell the dude on your TV ad.;-1;That s Ultra H aitch D Please tell the dude on your TV ad
55;@gompstomp78 I bought mine from currys. Shop around, might get price match from John Lewis with longer warranty;-1;I bought mine from currys Shop around might get price match from John Lewis with longer warranty
56;@TeamKnowhowUK Hi Richard, I was meant to be getting a callback from a supervisor this evening. This has not happened, yet another let down from Currys Pc World.;-1;Hi Richard I was meant to be getting a callback from a supervisor this evening This has not happened yet another let down from Currys Pc World
57;@mja1980 hello mate, random one. What branch of Currys are you working in these days?;1;hello mate random one What branch of Currys are you working in these days
58;@TeamKnowhowUK I cannot believe the appalling service we received from you today. I shall not be using @curryspcworld again.;-1;I cannot believe the appalling service we received from you today I shall not be using again
59;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps Once again you cannot use that arguement against me because in 2015-2016 curry had a 35% usg rate Westbrook had a 30% usg rate and Westbrook still avg 4 more assist then curry , play;-1;Once again you cannot use that arguement against me because in curry had a usg rate Westbrook had a usg rate and Westbrook still avg more assist then curry play
60;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps Lol you?e right assist aren? the only thing that measure playmaking ... but the problem is westbrook STILL beats curry in every playmaking stat aswell lmfaoo . Like I said players sh;-1;Lol you e right assist aren the only thing that measure playmaking but the problem is westbrook STILL beats curry in every playmaking stat aswell lmfaoo Like I said players sh
61;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps Westbrook is t2 this year in stls and t8 in deflections and every single one of his defense stats are better then both currys and hardens . Hmm I wonder why that is . You?e arguing f;-1;Westbrook is t2 this year in stls and t8 in deflections and every single one of his defense stats are better then both currys and hardens Hmm I wonder why that is You e arguing f
62;@TeamKnowhowUK @curryspcworld been trying to buy an item for days now but the site doesnt accept the postcode at checkout, even though ive previously ordered/recieved goods at that address. Reported it and told it would be sorted Sunday afternoon but stil;-1;been trying to buy an item for days now but the site doesnt accept the postcode at checkout even though ive previously ordered recieved goods at that address Reported it and told it would be sorted Sunday afternoon but stil
63;He said you can't wear steph currys to church  #OrCanYou;-1;He said you cannot wear steph currys to church
64;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps Players last year shot 30% off Westbrooks passes to wide open 3p shooters . Players shot 40% off currys passes to wide open shooters . Lol passing to shooters is the easiest assist i;1;Players last year shot off Westbrooks passes to wide open 3p shooters Players shot off currys passes to wide open shooters Lol passing to shooters is the easiest assist i
65;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps That would actually be an arguement if ALL of Westbrook? defensive stats weren? better then currys lol , the steals and deflections are just a plus . You can? win these lame arguemen;1;That would actually be an arguement if ALL of Westbrook defensive stats weren better then currys lol the steals and deflections are just a plus You can win these lame arguemen
66;Yes... Look at Currys first 6 seasons. Dudes ankles were so bad he almost was out the league. ;-1;Yes Look at Currys first seasons Dudes ankles were so bad he almost was out the league
67;Kids be like I want the new Jordan's,,I be like who is Michael Jordan?They say I don't knowI be like exactly,,where some Lebrons or some KD's or some Steph Currys bro;1;Kids be like I want the new Jordan s I be like who is Michael Jordan They say I do not knowI be like exactly where some Lebrons or some KD s or some Steph Currys bro
68;"Currys have got an offer on where you can get a 60"" HD Sony TV for 750 but you get 75 off the price for every game West Brom win between now and the end of the season. 

So you can get a 750 TV for only 750.

#wwfc
#wbafc
#avfc";1;Currys have got an offer on where you can get a HD Sony TV for but you get off the price for every game West Brom win between now and the end of the season So you can get a TV for only
69;The latest The The Whole Home Connect Daily Daily!  Thanks to @teQwise @curryspcworld @HavaLiving #technology;1;The latest The The Whole Home Connect Daily Daily Thanks to
70;@KennyLa26409190 not fitbit ionic smartwatch that are waterproof 239 Currys is cheapest I could find it even cheaper than ebay umless you bid on one;-1;not fitbit ionic smartwatch that are waterproof Currys is cheapest I could find it even cheaper than ebay umless you bid on one
71;Praying that the world is a better place when my babies grow up. We need more Ellens, more Zendayas, more Obamas, more Oprahs, more Diane Guerreros, more Currys, more Ali? (yes, Hoover? bus driver), more LOVE. We need more love.;1;Praying that the world is a better place when my babies grow up We need more Ellens more Zendayas more Obamas more Oprahs more Diane Guerreros more Currys more Ali yes Hoover bus driver more LOVE We need more love
72;Hence the drum is rubbing on the side casing....some lovely features though. Do I ring @curryspcworld or you? ;-1;Hence the drum is rubbing on the side casing some lovely features though Do I ring or you
73;Stephen Curry? Amazing Buzzer-Beater | Clippers vs. Warriors | Feb 22, 2018 | 2017-18 NBA Season #GSWvsLAC?VIDEO]  ;1;Stephen Curry Amazing Buzzer Beater Clippers vs Warriors Feb NBA Season VIDEO
74;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps Westbrook? peak in playmaking is still better then currys tho ...;-1;Westbrook peak in playmaking is still better then currys tho
75;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps - when you can? argue facts lol . you literally admitted it a few seconds ago by saying passing isn? currys strong suit  wanna compare assist ? Westbrook wins , wanna compare box plu;-1;when you can argue facts lol you literally admitted it a few seconds ago by saying passing isn currys strong suit wanna compare assist Westbrook wins wanna compare box plu
76;Is there a more annoying voice than the woman on the Currys PC World advert. Nails down a chalkboard ;-1;Is there a more annoying voice than the woman on the Currys PC World advert Nails down a chalkboard
77;Boots don? sell boots, Currys dont sell currys, but @kfc must sell chicken!;-1;Boots don sell boots Currys dont sell currys but must sell chicken
78;@Adames1995 @Justin2k_ @iamjeiru @LORAFRIMANE @BleacherReport @SmithRaps Isn? near currys level yet facts say otherwise lmfaoo the only thing curry truly has over westbrook is Effiency and that? helped by a system okc is russ or die , kinda like lebrons t;-1;Isn near currys level yet facts say otherwise lmfaoo the only thing curry truly has over westbrook is Effiency and that helped by a system okc is russ or die kinda like lebrons t
79;@curryspcworld brought a washing machine in January its been no good from the start no its broken down and you after refusing to refund me is this your  policy?  shop tell me it worked for 30 days and that is  good enough;-1;brought a washing machine in January its been no good from the start no its broken down and you after refusing to refund me is this your policy shop tell me it worked for days and that is good enough
80;#Chromebook Save up to 50 on Chromebook deals at Currys PC World -  ;1;Save up to on Chromebook deals at Currys PC World
81;@curryspcworld hi, have you stopped giving away a canon camera bag with the Canon 1300D 35-55 75-300 mm bundle? Thanks. (Considering ordering one);-1;hi have you stopped giving away a canon camera bag with the Canon 1300D mm bundle Thanks Considering ordering one
82;@Juliecelticmad  av got irn bru and a few currys am sorted;1;av got irn bru and a few currys am sorted
83;@curryspcworld  genuinely good service in store at Macclesfield, but direct phone line and daft policies ruined it. 45 minutes of life wasted;-1;genuinely good service in store at Macclesfield but direct phone line and daft policies ruined it minutes of life wasted
84;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
85;@OC3D About 4 months ago, I bought a samsung 960 EVO nvme from Maplins, but I actually used their price match service to get it from 140 down to 119 at curryspcworld. It's a shame they're going, grew up buying a lot of my tech from them. Competition is to;1;About months ago I bought a samsung EVO nvme from Maplins but I actually used their price match service to get it from down to at curryspcworld It s a shame they are going grew up buying a lot of my tech from them Competition is to
86;Praying that the world is a better place when my babies grow up. We need more Ellens, more Zendayas, more Obamas, more Oprahs, more Diane Guerreros, more Currys, more Ali? (yes, Hoover? bus driver), more LOVE. We need more love.;1;Praying that the world is a better place when my babies grow up We need more Ellens more Zendayas more Obamas more Oprahs more Diane Guerreros more Currys more Ali yes Hoover bus driver more LOVE We need more love
87;@SportsTalkJo3 This is sadly probably Currys least greatest achievement;-1;This is sadly probably Currys least greatest achievement
89;@yungoIivia thought this was steph currys daughter at first LMAO;-1;thought this was steph currys daughter at first LMAO
90;"A laptop &amp; VR set was just over 1,000 last Christmas and now it? 1,800. Are you fucking High? #MSI @curryspcworld";-1;A laptop VR set was just over last Christmas and now it Are you fucking High
91;.. INDIAN FISH CURRYS SERVED WITH RICE PORRIDGE;0;INDIAN FISH CURRYS SERVED WITH RICE PORRIDGE
92;"@warriors @StephenCurry30 Jon is ready for the Warriors vs Spurs game in San Antonio on March 19. He has been collecting Warriors merchandise for yrs and is Currys biggest fan. He hopes to meet him one day. 
#DubNation ";1;Jon is ready for the Warriors vs Spurs game in San Antonio on March He has been collecting Warriors merchandise for yrs and is Currys biggest fan He hopes to meet him one day
93;"The Making of Denzel Curry's ""Ultimate"" With @RONNYJLISTENUP  #STUDIOLIFE,";1;The Making of Denzel Curry s Ultimate With
94;@FisolaNYDN 99% of warriors jerseys here are brand-new Currys;1;of warriors jerseys here are brand new Currys
95;@CNN @CNNOpinion Currys a freakin tool.;-1;Currys a freakin tool
96;I can feel one of currys signature cheat code hot streaks coming @NBATV #nbatv #nba;1;I can feel one of currys signature cheat code hot streaks coming
97;I want my Currys @FedEx !;1;I want my Currys
98;Currys PCWorld (@curryspcworld): Get 100 Off Selected Hp Laptops And Desktops  .. #voucher ;0;Currys PCWorld Get Off Selected Hp Laptops And Desktops
99;"Currys have got an offer on where you can get a 60"" HD Sony TV for 750 but you get 75 off the price for every game West Brom win between now and the end of the season. 

So you can get a 750 TV for only 750.

#wwfc
#wbafc
#avfc";1;Currys have got an offer on where you can get a HD Sony TV for but you get off the price for every game West Brom win between now and the end of the season So you can get a TV for only
100;"Currys have got an offer on where you can get a 60"" HD Sony TV for 750 but you get 75 off the price for every game West Brom win between now and the end of the season. 

So you can get a 750 TV for only 750.

#wwfc
#wbafc
#avfc";1;Currys have got an offer on where you can get a HD Sony TV for but you get off the price for every game West Brom win between now and the end of the season So you can get a TV for only
101;@mattybucketsss Uhhhh you maybe right about that one.. But if Russ had Currys team then maybe he would;1;Uhhh you maybe right about that one But if Russ had Currys team then maybe he would
102;"#Currys - Trade in and save 150 when you buy the Samsung QuickDrive washing machine plus Free ... - #PromoCode -&gt;  ";0;Trade in and save when you buy the Samsung QuickDrive washing machine plus Free
103;"@warriors @StephenCurry30 Jon is ready for the Warriors vs Spurs game in San Antonio on March 19. He has been collecting Warriors merchandise for yrs and is Currys biggest fan. He hopes to meet him one day. 
#DubNation ";1;Jon is ready for the Warriors vs Spurs game in San Antonio on March He has been collecting Warriors merchandise for yrs and is Currys biggest fan He hopes to meet him one day
104;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
105;Why Steph Currys career is finally DESTROYED!! KEVIN DURANT STOLE FINALS MVP! |#KevinDurant ;-1;Why Steph Currys career is finally DESTROYED KEVIN DURANT STOLE FINALS MVP
106;"#Currys  Trade in and save 150 when you buy the Samsung QuickDrive washing machine plus Free ... - #Coupon -&gt; ";0;Trade in and save when you buy the Samsung QuickDrive washing machine plus Free
107;I can't wait for my Currys to come in!!!;1;I cannot wait for my Currys to come in
108;Everyone is calling for Pachulia to be banned from the NBA. Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in 2015?;-1;Everyone is calling for Pachulia to be banned from the NBA Where were these people when Dellavadova was diving at back to back unanimous MVP Currys knees in
109;Ali was honestly a gem the world needs more Ali's x10 ;1;Ali was honestly a gem the world needs more Ali s x10
110;Praying that the world is a better place when my babies grow up. We need more Ellens, more Zendayas, more Obamas, more Oprahs, more Diane Guerreros, more Currys, more Ali? (yes, Hoover? bus driver), more LOVE. We need more love.;1;Praying that the world is a better place when my babies grow up We need more Ellens more Zendayas more Obamas more Oprahs more Diane Guerreros more Currys more Ali yes Hoover bus driver more LOVE We need more love
111;Ali was honestly a gem! The world needs more Ali's x10 ;1;Ali was honestly a gem The world needs more Ali s x10
112;Praying that the world is a better place when my babies grow up. We need more Ellens, more Zendayas, more Obamas, more Oprahs, more Diane Guerreros, more Currys, more Ali? (yes, Hoover? bus driver), more LOVE. We need more love.;1;Praying that the world is a better place when my babies grow up We need more Ellens more Zendayas more Obamas more Oprahs more Diane Guerreros more Currys more Ali yes Hoover bus driver more LOVE We need more love
113;Praying that the world is a better place when my babies grow up. We need more Ellens, more Zendayas, more Obamas, more Oprahs, more Diane Guerreros, more Currys, more Ali? (yes, Hoover? bus driver), more LOVE. We need more love.;1;Praying that the world is a better place when my babies grow up We need more Ellens more Zendayas more Obamas more Oprahs more Diane Guerreros more Currys more Ali yes Hoover bus driver more LOVE We need more love
114;Kawhi Leanord picks Currys pockets and slams it home ;-1;Kawhi Leanord picks Currys pockets and slams it home
115;#DUTStrike going towards open house and then down Steve biko to Currys fountain... ;1;going towards open house and then down Steve biko to Currys fountain
116;"@curryspcworld customer service is shocking. Been without a fridge for 22 days due to a having a faulty one. No help from managers in store. #dontbuyfromcurryspcworld
#badcustomerservice#toldallfamilyandfriends#bloodyuselesscompany";-1;customer service is shocking Been without a fridge for days due to a having a faulty one No help from managers in store
117;"@curryspcworld customer service is shocking. Been without a fridge for 22 days due to a having a faulty one. No help from managers in store. #dontbuyfromcurryspcworld
#badcustomerservice
#toldallfamilyandfriends
#bloodyuselesscompany";-1;customer service is shocking Been without a fridge for days due to a having a faulty one No help from managers in store
118;#DUTStrike going towards open house and then down Steve biko to Currys fountain... ;1;going towards open house and then down Steve biko to Currys fountain
120;"Where not to shop? #curryspcWorld
#llanellicurryspcworld
#poorcustomerservice
#crappymanagement
#spreadtheword";-1;Where not to shop
121;#DUTStrike going towards open house and then down Steve biko to Currys fountain... ;1;going towards open house and then down Steve biko to Currys fountain
122;#DUTStrike going towards open house and then down Steve biko to Currys fountain... ;1;going towards open house and then down Steve biko to Currys fountain
123;#DUTStrike going towards open house and then down Steve biko to Currys fountain... ;1;going towards open house and then down Steve biko to Currys fountain
124;#DUTStrike going towards open house and then down Steve biko to Currys fountain... ;1;going towards open house and then down Steve biko to Currys fountain
125;Last day off from work today until April and I have to go to Currys later which is past Burger King #thiscouldbetough;1;Last day off from work today until April and I have to go to Currys later which is past Burger King
126;I'm looking for an iPhone chest mount, any suggestions?  Here's one for a Go Pro, this is the type of thing I'm looking for ;-1;I am looking for an iPhone chest mount any suggestions Here s one for a Go Pro this is the type of thing I am looking for
127;@curryspcworld Morning, trying to spend some money on your website but getting errors on your website when trying to get to the checkout, tried on different devices.;-1;Morning trying to spend some money on your website but getting errors on your website when trying to get to the checkout tried on different devices
128;Passionate about the latest innovations? So be a Store Support Colleague  Currys PC World @JobsatDC #Bedford Info/Apply:  #RetailJobs #SalesJobs #BedfordJobs ;0;Passionate about the latest innovations So be a Store Support Colleague Currys PC World Info Apply
129;@TeamKnowhowUK still no reply do I take it you are now ignoring me? I need to take the matter further? I don? particularly want to but ok,shame I thought you guys might be reasonable .@curryspcworld #consumerrights #tradingstandards;-1;still no reply do I take it you are now ignoring me I need to take the matter further I don particularly want to but ok shame I thought you guys might be reasonable
130;New post (Five years ago Stephen Curry's 54-point game helped redefine the NBA) has been published on ReportEyes - ;0;New post Five years ago Stephen Curry s point game helped redefine the NBA has been published on ReportEyes
131;"@curryspcworld 
I placed order for the (mini  transformer Asus) last month twice but both got canceled after the payment. The third order CUR1851045202 shows the status pending as your team can not trace the item in logistic and can't refund me. very un";-1;I placed order for the mini transformer Asus last month twice but both got canceled after the payment The third order CUR shows the status pending as your team can not trace the item in logistic and cannot refund me very un
132;Five years ago Stephen Curry's 54-point game helped redefine the?BA ;1;Five years ago Stephen Curry s point game helped redefine the BA
133;We featured you in our roundup. ;1;We featured you in our roundup
134;@curryspcworld @teamknowhow. In middle of questionnaire for job application. Timed out now can't complete it. Tried reapplying to job form scratch still can't complete it ?;-1;In middle of questionnaire for job application Timed out now cannot complete it Tried reapplying to job form scratch still cannot complete it
135;@curryspcworld how can you not have any ovens in stock in any of your reading branches?? And the price has been jumped up massively on your cbconx12, where? the value gone for your customers??;-1;how can you not have any ovens in stock in any of your reading branches And the price has been jumped up massively on your cbconx where the value gone for your customers
136;#DUTStrike going towards open house and then down Steve biko to Currys fountain... ;1;going towards open house and then down Steve biko to Currys fountain
137;Hi *amazing* @Space_Station from @CRSD_HMS Mr. Curry? Science Classroom ISS-Above in Holland MS (Philly), PA USA 284.6 mi @CarlSaganRox @NASA_Johnson#issabove ;1;Hi amazing from Mr Curry Science Classroom ISS Above in Holland MS Philly PA USA mi
138;"FINALLY finished my Tim Curry tribute poster! All my favorite Currys in one convenient piece. Hopefully I can get him to sign a copy at @MonsterManiaCon in a couple weeks! (PS I'll have a table there, come see me!)

#timcurry #fanart ";1;FINALLY finished my Tim Curry tribute poster All my favorite Currys in one convenient piece Hopefully I can get him to sign a copy at in a couple weeks PS I shall I will have a table there come see me
139;#currys #curryspcworld any chance you can have some heating in your stores, just been to Barnsley and Wakefield, both store blinking freezing. Very off putting when browsing for a few items;-1;any chance you can have some heating in your stores just been to Barnsley and Wakefield both store blinking freezing Very off putting when browsing for a few items
